"Philippine Exports by Commodity Group (GRT), 2000-2025"

"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Bananas (Fresh)";"Canada";11713.00;75300.00;102283.50;242557.00;..;..;3050.00;2799.00;..;..;63690.00;37524.00
"Bananas (Fresh)";"Canary Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Chile";..;..;3170.84;13260.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"People'S Republic Of China";1210518614.60;494039131.00;920456944.68;393169366.00;832577809.30;359689117.00;802265703.24;359762276.00;544241277.70;244811916.00;624416478.40;296010506.00
"Bananas (Fresh)";"Taiwan (Rep. Of China)";..;..;212116.00;51866.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Colombia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Costa Rica";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cyprus";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Czech Republic (Czechoslovakia)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Denmark";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Dominican Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ecuador";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Egypt Arab Republic";..;..;..;..;..;..;..;..;..;..;88000.00;46200.00
"Bananas (Fresh)";"Fiji";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Finland";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"France";..;..;11739.00;32175.00;..;..;..;..;..;..;121.00;264.00
"Bananas (Fresh)";"French Polynesia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French West Indies";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Gabon";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Germany";..;..;..;..;5743.26;14689.00;..;..;..;..;1040.00;2166.00
"Bananas (Fresh)";"Greece";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Guadeloupe";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Honduras, Republic Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Hong Kong, China";65138336.40;25503608.00;35526096.60;15568063.00;33206478.00;15593382.00;29618169.00;15091464.00;35118110.46;17057378.00;43435184.70;22570697.00
"Bananas (Fresh)";"Hungary";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Iceland";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"India";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Indonesia";..;..;37920.00;98376.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ireland";..;..;..;..;..;..;..;..;..;..;36.00;363.00
"Bananas (Fresh)";"Israel";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Italy";..;..;9489.42;24750.00;..;..;..;..;..;..;500.00;70.00
"Bananas (Fresh)";"Jamaica (Excludes Cayman Is.,Turks,Caicos)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Japan";1414693570.16;714517476.00;949076371.96;502428937.00;920649340.43;486700628.00;985479105.55;562467311.00;1101673279.83;634564276.00;1527040766.26;923632328.00
"Bananas (Fresh)";"Okinawa";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cambodia (Democratic Kampuchea)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Kenya";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Republic Of Korea";435827485.20;198622114.00;272765607.00;140403846.00;259449032.20;143850914.00;267543191.00;164537324.00;304351205.60;181776190.00;341772473.42;205643953.00
"Bananas (Fresh)";"Kuwait";45941549.94;13385246.00;15169717.72;5177580.00;10567066.36;3945146.00;8271442.60;4084354.00;7787978.60;4064926.00;6904746.33;3004672.00
"Bananas (Fresh)";"Lebanon";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Malaysia";15194818.50;5326110.00;7505864.42;2956662.00;8132779.20;3809535.00;8016462.00;5756598.00;4745547.35;2738141.00;5889505.68;2858901.00
"Bananas (Fresh)";"Sabah (Comprises Malaysia)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Malta";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mauritius";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mexico";..;..;177638.36;145635.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Netherlands";182.00;3885.00;3709316.08;6009426.00;2071.00;11465.00;8398.00;32327.00;7867.00;24222.00;6996.60;21478.00
"Bananas (Fresh)";"New Caledonia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Vanuatu (New Hebrides)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"New Zealand";11433404.50;5823811.00;8753173.00;4645710.00;17612664.10;10728580.00;11879862.00;12085679.00;20866820.00;17476485.00;27034251.98;24652148.00
"Bananas (Fresh)";"Nigeria";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Norway";1197.00;6062.00;793.00;4651.00;452.00;1012.00;219.60;360.00;110.00;280.00;..;..
"Bananas (Fresh)";"Pakistan, Islamic Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Palau, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Papua New Guinea";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Peru";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Poland";..;..;39272.48;95873.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Portugal";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Puerto Rico";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Reunion";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"San Marino";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Saudi Arabia";154424811.42;55852515.00;85962331.46;27726694.00;57165619.20;22862928.00;64199482.69;31720939.00;71091996.55;42575131.00;108616170.54;62869507.00
"Bananas (Fresh)";"Singapore";37136421.65;15679025.00;23670385.48;10282118.00;22653743.58;11664226.00;23897969.18;13705792.00;24369287.70;13329718.00;24143398.70;12098673.00
"Bananas (Fresh)";"Slovak Republic (Slovakia)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"South Africa, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Spain";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Sri Lanka  (Ceylon)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Sweden";3960.00;2113.00;220.00;200.00;406.80;864.00;166.00;135.00;699.00;1044.00;..;..
"Bananas (Fresh)";"Switzerland";785.00;1700.00;1901.50;3141.00;2702.00;6009.00;981.20;1986.00;1285.00;2009.00;2675.00;3303.00
"Bananas (Fresh)";"Thailand";..;..;..;..;..;..;330.00;17338.00;..;..;..;..
"Bananas (Fresh)";"Trinidad And Tobago";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Pacific Trust Territory";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Turkey";44660.00;12160.00;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Turks And Caicos Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ukraine (Ukrainian S.S.R.)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"United Arab Emirates, N.E.S.";61721021.10;24005187.00;28094907.90;13454355.00;16315743.50;8358680.00;19094959.00;11496709.00;21074365.15;12377084.00;28525950.75;14193518.00
"Bananas (Fresh)";"Oman";18617868.80;6886718.00;8156120.00;3161168.00;1534166.50;580317.00;65960.50;20974.00;539004.00;215854.00;270629.95;136723.00
"Bananas (Fresh)";"Qatar";38848571.03;13856638.00;18616151.20;7569897.00;22996209.48;10960014.00;16884482.80;8113148.00;9617094.00;4793623.00;10729920.00;5315759.00
"Bananas (Fresh)";"Uk Of Great Britain And N. Ireland";..;..;127231.32;312753.00;30856.20;67974.00;5787.44;31619.00;5696.52;35289.00;9438.00;40633.00
"Bananas (Fresh)";"United States Of America";200.00;300.00;517109.42;747699.00;5200.00;13738.00;5413.85;9624.00;..;..;70044.22;97054.00
"Bananas (Fresh)";"Guam";400026.00;190337.00;151140.00;92966.00;73960.10;50614.00;10134.30;39360.00;81780.00;63078.00;..;..
"Bananas (Fresh)";"Hawaii";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Virgin Islands (U.S.)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Uruguay";..;..;11558.00;26400.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Venezuela";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Vietnam";1.25;642.00;1.40;428.00;0.30;215.00;..;..;..;..;..;..
"Bananas (Fresh)";"Virgin Islands (British)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Jordan";..;..;..;..;1540.00;2964.00;87136.00;45996.00;..;..;..;..
"Bananas (Fresh)";"Micronesia, Federated States Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Morocco";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Panama";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Antigua And Barbuda";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Aruba";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cook Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Maldives, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Syrian Arab Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Russian Federation";23180.00;7320.00;932342.32;519712.00;111635.50;61515.00;..;..;20520.00;10357.00;471960.00;238215.00
"Bananas (Fresh)";"Uzbekistan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Swaziland (Eswatini)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Bangladesh";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Bermuda";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Gibraltar";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Marshall Islands, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Romania";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Latvia (Latvian Soviet Socialist Rep.)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Yemen, Republic Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Alaska";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Myanmar, Union Of (Burma)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Grenada";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Solomon Islands (British)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Togo";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Burkina Faso (Upper Volta)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Zaire (Democratic Republic Of Congo)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Zambia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Algeria";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"El Salvador";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Guatemala";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Angola";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Pacific Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Slovenia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Luxembourg";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Afghanistan";156310.00;53900.00;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Paraguay";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Bulgaria";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mali (West Africa)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Nepal";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Netherlands Antilles";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ghana";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cote D' Ivoire (Ivory Coast)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Senegal";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Kiribati";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Haiti";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Macau";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Nicaragua";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Spanish Africa, N.E.S.";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tanzania, United Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tunisia";..;..;222.00;375.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Bosnia And Herzegovina";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Croatia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Estonia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Iran, Islamic Rep. Of";214794883.25;48403292.00;55792938.60;12077459.00;68755730.10;16896978.00;108957580.50;28557623.00;165448517.20;53790945.00;242877579.60;97528687.00
"Bananas (Fresh)";"Lithuania";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mozambique";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Namibia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Nauru, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Zimbabwe (Rhodesia)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Samoa (Western Samoa)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Benin, People'S Rep. Of (Dahomey)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Congo, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cuba";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Guiana";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Lesotho";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Martinique";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"St. Helena";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Libyan Arab Jamahiriya";85550.00;23076.00;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Andorra";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cayman Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Liechtenstein";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Sarawak (Comprises Malaysia)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Seychelles Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Somalia, Democratic Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Lao People'S Democratic Republic (Laos)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mongolia";2003857.00;988325.00;1455191.00;744411.00;563734.00;534319.00;1174251.50;1264810.00;1141933.00;752455.00;1230585.50;707455.00
"Bananas (Fresh)";"Belarus (Byelorussian S.S.R.)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"British West Africa(Exc. St. Helena)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Other Pacific Islands, N.E.S.   6/";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Sierra Leone";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Sudan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Uganda";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Malawi";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tokelau";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Niger";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Madagascar, Democratic Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Guyana";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cameroon";..;..;445120.00;471816.00;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Curacao";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Djibouti (Affars & Issas)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Timor-Leste (East Timor)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ethiopia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Oceania";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Iraq";68883254.40;15828195.00;30903826.00;6304348.00;470322.00;42419.00;5698846.00;709479.00;19680850.00;2295785.00;39681230.00;6188013.00
"Bananas (Fresh)";"Kazakhstan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Liberia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Rwanda";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Suriname";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Macedonia, The Former Yugoslav Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"St. Vincent And Grenadines";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Botswana";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Monaco";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tonga";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Guinea";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"British Indian Ocean Territory";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mauritania";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Eritrea";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Gambia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"U.S. Oceania, N.E.S.";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"U.S. Minor Outlying Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Yemen Arab Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Azores";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Albania";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Antartica";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Madeira Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Dominica";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Northern Mariana Islands";1169556.00;736951.00;383563.00;249328.00;463576.00;311415.00;294278.50;220790.00;366710.00;243336.00;280280.00;184646.00
"Bananas (Fresh)";"Sao Tome And Principe, Dem. Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tajikistan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Armenia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Midway Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Moldova, Republic Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Greenland";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Nansei Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Democratic People'S Rep. Of Korea";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Chinese Taipei";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Turkmenistan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Byelorussian Soviet Socialist Rep.";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Panama Canal Zone";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Gilbert And Ellice Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Ceuta And Melilla";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Christmas Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Guinea-Bissau, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Burundi";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cocos Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Antilles";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Cape Verde";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Falkland Islands (Malvinas)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Portuguese Timor And Dependencies";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Yemen, People'S Democratic Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Central African Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Azerbaijan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"British Pacific Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Equatorial Guinea, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Southern Territory";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Kyrgyzstan";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Opt. Ctry.Comb. Netherlands & Germany";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Mayotte";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Tuvalu";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Razerbaijani";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Georgia";..;..;..;..;..;..;2152.16;6500.00;..;..;..;..
"Bananas (Fresh)";"Montserrat";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"South And Southeast Asia, N.E.S.";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Bouvet Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Comoros, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"St. Pierre And Miguelon";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Norfolk Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Leeward & Windward Is.  5/";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"St.Kitts & Nevis (St.Christopher & Nevis)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"French Indian Ocean Areas";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Wake Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"St. Lucia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Western Portuguese Africa";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Wallis And Futuna Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Anguilla";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Vatican City State";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Western Sahara (Spanish Sahara)";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Serbia";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Faeroe Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Heard And Mcdonald Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Not Specified";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Chad";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Montenegro";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Neutral Zone";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Pitcairn Island";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Saint Martin";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Kosovo";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"South Georgia And The South Sandwich Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Svalbard And Jan Mayen";..;..;..;..;..;..;..;..;..;..;..;..
"Bananas (Fresh)";"Channel Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Dessicated Coconut";"American Samoa";..;..;..;..;..;..;..;..;..;..;..;..
"Dessicated Coconut";"Argentina";1236655.90;1726603.00;984645.27;2205330.00;1030699.77;1976553.00;1526640.57;2067413.00;1144056.58;1764318.00;900131.50;2467395.00
"Dessicated Coconut";"Australia";7755534.55;16512360.00;7947611.64;20410073.00;7309365.39;18826260.00;8285185.16;13798574.00;6889979.29;12570379.00;8245939.16;27229471.00
"Dessicated Coconut";"Austria";..;..;..;..;25500.00;37000.00;..;..;..;..;25490.00;63750.00
"Dessicated Coconut";"Bahamas";..;..;..;..;..;..;..;..;..;..;..;..
"Dessicated Coconut";"Bahrain";10092.53;27682.00;35629.53;79155.00;..;..;..;..;38090.00;65000.00;278199.79;511224.00
"Dessicated Coconut";"Barbados";..;..;..;..;..;..;..;..;..;..;..;..
"Dessicated Coconut";"Belgium";2164549.36;3811140.00;1870566.62;4390784.00;1369295.17;3184930.00;1469678.44;2078076.00;1363012.75;2200568.00;841560.69;2330001.00
