"Philippine Exports by Commodity Group (GRT), 2000-2025"

"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Processed Tropical Fruits";"Israel";285549.98;662346.00;388811.09;1091110.00;306363.52;763170.00;426075.06;862557.00;359322.99;682268.00;540177.35;1219980.00
"Processed Tropical Fruits";"Italy";691946.34;1836587.00;860235.13;2379574.00;640682.09;1882523.00;523504.48;1372911.00;1072039.24;2184576.00;655797.96;1790294.00
"Processed Tropical Fruits";"Jamaica (Excludes Cayman Is.,Turks,Caicos)";16094.99;13527.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Japan";10210554.31;29553951.00;10432751.71;33916922.00;10754094.26;44889437.00;10005531.98;25025160.00;12357998.25;28308367.00;13021251.94;29911914.00
"Processed Tropical Fruits";"Okinawa";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cambodia (Democratic Kampuchea)";..;..;55132.12;12160.00;192.00;1192.00;1074.36;2017.00;3187.20;4419.00;107005.83;101945.00
"Processed Tropical Fruits";"Kenya";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Republic Of Korea";12955447.31;14617068.00;13110561.89;15978310.00;11885388.20;15602074.00;11011716.53;16357480.00;15042098.65;18391808.00;13171325.44;16311154.00
"Processed Tropical Fruits";"Kuwait";318340.18;302581.00;305655.86;330129.00;213155.68;292829.00;211187.79;309573.00;264031.46;284162.00;379386.26;441542.00
"Processed Tropical Fruits";"Lebanon";12002.54;22276.00;5894.56;7966.00;2977.52;3213.00;19077.49;34989.00;58812.59;48336.00;180259.60;192388.00
"Processed Tropical Fruits";"Malaysia";9189537.58;9718453.00;10754472.98;15643267.00;12349294.70;18011066.00;9875374.03;11863125.00;10799449.92;13527095.00;12622631.73;20297974.00
"Processed Tropical Fruits";"Sabah (Comprises Malaysia)";18678.00;15588.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Malta";16560.00;20280.00;23018.50;36849.00;2133.38;3748.00;7203.46;14662.00;16257.88;45555.00;2133.00;4642.00
"Processed Tropical Fruits";"Mauritius";..;..;..;..;412.00;4901.00;7729.35;22095.00;4065.60;16342.00;8336.13;34041.00
"Processed Tropical Fruits";"Mexico";465416.33;1949117.00;284218.11;1166246.00;333831.33;1754252.00;96594.26;473101.00;370155.61;1493520.00;319175.20;1353952.00
"Processed Tropical Fruits";"Netherlands";13555556.40;24207342.00;14733520.40;18488954.00;15379957.46;21057123.00;9494769.80;13482871.00;10021276.42;14255873.00;15981127.99;21939225.00
"Processed Tropical Fruits";"New Caledonia";..;..;..;..;..;..;6107.94;6150.00;10818.14;8726.00;..;..
"Processed Tropical Fruits";"Vanuatu (New Hebrides)";..;..;..;..;..;..;22952.19;31240.00;12473.16;11239.00;..;..
"Processed Tropical Fruits";"New Zealand";981262.00;1300247.00;839561.25;1216390.00;829369.70;1150857.00;843747.28;1243137.00;1506169.97;2429932.00;1151401.89;1787453.00
"Processed Tropical Fruits";"Nigeria";..;..;104.42;780.00;155.62;394.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Norway";26084.63;53077.00;73752.13;149622.00;175227.71;277357.00;61864.24;124452.00;117973.20;178614.00;168361.47;248657.00
"Processed Tropical Fruits";"Pakistan, Islamic Rep. Of";7043810.81;5468411.00;9022080.51;7703615.00;3326210.11;3057725.00;2897319.93;2825277.00;2211034.68;1822475.00;2415058.22;2138462.00
"Processed Tropical Fruits";"Palau, Rep. Of";..;..;500.00;1221.00;23800.00;28659.00;8715.00;8675.00;46602.60;18054.00;40928.10;27894.00
"Processed Tropical Fruits";"Papua New Guinea";11192.95;5040.00;14434.39;28608.00;22959.91;27976.00;29483.27;30300.00;17839.80;16150.00;6358.59;13536.00
"Processed Tropical Fruits";"Peru";..;..;..;..;2697.07;2791.00;245.52;322.00;5998.44;15350.00;1554.00;1680.00
"Processed Tropical Fruits";"Poland";642439.24;1313235.00;692327.27;1755162.00;714301.33;1466805.00;737347.47;1267509.00;999371.35;1718688.00;990452.90;1852940.00
"Processed Tropical Fruits";"Portugal";189707.35;449536.00;181380.87;511013.00;299528.02;737225.00;39803.26;91407.00;71290.68;171449.00;55418.12;137848.00
"Processed Tropical Fruits";"Puerto Rico";..;..;1920.96;1605.00;..;..;22020.20;32988.00;..;..;36145.58;88233.00
"Processed Tropical Fruits";"Reunion";..;..;..;..;1531.00;8845.00;5392.75;34699.00;..;..;3930.35;23058.00
"Processed Tropical Fruits";"San Marino";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Saudi Arabia";482533.39;929257.00;922668.33;1861670.00;856798.52;2214484.00;707953.18;1562989.00;733718.12;1780272.00;412245.24;994459.00
"Processed Tropical Fruits";"Singapore";2936329.41;4010694.00;3307687.91;4470010.00;2802797.51;3921460.00;2063068.85;3284754.00;2524006.37;3703130.00;2220237.09;2803259.00
"Processed Tropical Fruits";"Slovak Republic (Slovakia)";292326.00;580448.00;285456.68;559865.00;40480.00;58260.00;93059.15;172188.00;71170.65;144540.00;216539.75;481493.00
"Processed Tropical Fruits";"South Africa, Rep. Of";366533.54;829685.00;171832.67;453673.00;211750.54;557055.00;194232.22;451346.00;302499.63;707484.00;207554.66;734816.00
"Processed Tropical Fruits";"Spain";698119.82;1989752.00;1736095.99;3614858.00;2074075.29;3380902.00;1075453.23;2047315.00;1510959.14;2714590.00;1539781.95;2498711.00
"Processed Tropical Fruits";"Sri Lanka  (Ceylon)";21280.00;63728.00;21905.21;66334.00;32580.00;139994.00;19812.29;87782.00;91477.32;268810.00;175210.00;142000.00
"Processed Tropical Fruits";"Sweden";280907.03;621849.00;386994.34;810606.00;421607.03;962792.00;421994.79;803594.00;438292.45;890267.00;416059.23;794065.00
"Processed Tropical Fruits";"Switzerland";79416.75;204557.00;59418.91;167056.00;20593.20;81149.00;47520.06;97734.00;22973.06;60487.00;2644.94;11920.00
"Processed Tropical Fruits";"Thailand";1446997.23;4258610.00;1051477.08;3815990.00;631559.25;2396762.00;779802.71;2997357.00;1356119.18;5113815.00;708963.14;2836194.00
"Processed Tropical Fruits";"Trinidad And Tobago";12415.00;33391.00;12415.00;42424.00;11175.51;37440.00;33275.30;96513.00;27560.36;69965.00;20464.97;90674.00
"Processed Tropical Fruits";"Pacific Trust Territory";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Turkey";30828.84;79159.00;72869.54;176336.00;115862.34;276365.00;49695.50;83333.00;24305.54;50235.00;19083.38;22836.00
"Processed Tropical Fruits";"Turks And Caicos Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Ukraine (Ukrainian S.S.R.)";442947.86;1006876.00;485521.09;1268784.00;93192.98;219861.00;159983.64;346390.00;414783.54;880227.00;278397.00;626945.00
"Processed Tropical Fruits";"United Arab Emirates, N.E.S.";976529.79;1280464.00;1608650.88;2475602.00;1724388.66;3197565.00;1531010.41;2659902.00;1755916.31;2662521.00;1594719.05;2631308.00
"Processed Tropical Fruits";"Oman";84741.32;93306.00;111618.92;149332.00;194745.12;253088.00;141315.12;171816.00;92745.18;126620.00;251552.58;283164.00
"Processed Tropical Fruits";"Qatar";527636.29;614089.00;543143.26;853261.00;473310.14;752011.00;441183.76;748540.00;309953.15;382663.00;211797.19;248406.00
"Processed Tropical Fruits";"Uk Of Great Britain And N. Ireland";16432199.64;19064458.00;23243691.34;27128681.00;24422230.72;28112743.00;21875659.52;24191033.00;32877149.92;34250984.00;46562199.72;47055954.00
"Processed Tropical Fruits";"United States Of America";88708142.89;141267882.00;101606318.15;159238455.00;115111826.55;154021767.00;105281693.14;139726354.00;157606892.70;169540860.00;131159576.11;151502655.00
"Processed Tropical Fruits";"Guam";1002708.04;1464555.00;537209.53;708515.00;451885.49;1034675.00;557795.92;1472011.00;710301.31;1379222.00;991282.15;2167252.00
"Processed Tropical Fruits";"Hawaii";950.00;7135.00;..;..;..;..;315.00;2343.00;..;..;..;..
"Processed Tropical Fruits";"Virgin Islands (U.S.)";..;..;18000.00;15250.00;129022.00;410926.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Uruguay";58947.95;123281.00;36675.61;76975.00;36427.05;71940.00;15552.29;34785.00;55875.00;114911.00;55948.00;122167.00
"Processed Tropical Fruits";"Venezuela";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Vietnam";428249.00;582645.00;576491.08;1231076.00;369658.58;1126893.00;382710.99;1457004.00;679814.04;2281869.00;838172.50;3263733.00
"Processed Tropical Fruits";"Virgin Islands (British)";..;..;..;..;..;..;..;..;..;..;14100.00;20538.00
"Processed Tropical Fruits";"Jordan";59344.80;135315.00;18838.24;18767.00;34182.87;46901.00;14752.40;16724.00;11459.20;11940.00;21763.04;20101.00
"Processed Tropical Fruits";"Micronesia, Federated States Of";108829.53;54184.00;81961.29;62786.00;125182.00;58009.00;168398.37;128240.00;237694.68;165416.00;278214.30;172367.00
"Processed Tropical Fruits";"Morocco";..;..;29699.06;83722.00;21582.28;62205.00;..;..;..;..;11793.00;29250.00
"Processed Tropical Fruits";"Panama";..;..;123876.40;162400.00;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Antigua And Barbuda";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Aruba";..;..;11.00;239.00;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cook Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Maldives, Rep. Of";44440.86;33723.00;26213.64;25338.00;40059.68;53451.00;20422.87;31730.00;38525.50;57207.00;33651.80;31568.00
"Processed Tropical Fruits";"Syrian Arab Republic";18000.00;36000.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Russian Federation";1399308.84;3384128.00;2006262.25;5300520.00;1042468.24;2326756.00;966982.11;2143590.00;1283191.02;2560345.00;781193.73;1685632.00
"Processed Tropical Fruits";"Uzbekistan";..;..;..;..;2832.46;2880.00;3199.27;3231.00;19077.12;16112.00;1912.68;1739.00
"Processed Tropical Fruits";"Swaziland (Eswatini)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Bangladesh";..;..;482.66;6810.00;..;..;12247.94;22682.00;14265.24;57128.00;..;..
"Processed Tropical Fruits";"Bermuda";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Gibraltar";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Marshall Islands, Rep. Of";200510.58;86037.00;274064.31;110103.00;224232.38;156954.00;259966.93;315035.00;359014.45;422579.00;386658.76;411293.00
"Processed Tropical Fruits";"Romania";16723.31;56773.00;56981.61;68031.00;257851.34;411793.00;130908.91;209208.00;98192.75;191903.00;46003.67;96342.00
"Processed Tropical Fruits";"Latvia (Latvian Soviet Socialist Rep.)";22112.86;46666.00;51974.67;162000.00;129229.93;321853.00;95793.77;195632.00;58478.68;135726.00;94603.45;229611.00
"Processed Tropical Fruits";"Yemen, Republic Of";..;..;38576.90;28604.00;25159.68;24215.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Alaska";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Myanmar, Union Of (Burma)";17349.43;47538.00;24892.12;70204.00;5627.93;18953.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Grenada";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Solomon Islands (British)";17010.00;22352.00;8442.00;12104.00;9072.00;12940.00;21373.92;30354.00;1500.00;1000.00;6190.00;8711.00
"Processed Tropical Fruits";"Togo";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Burkina Faso (Upper Volta)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Zaire (Democratic Republic Of Congo)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Zambia";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Algeria";50587.18;41736.00;..;..;126478.64;117667.00;1623.16;1740.00;36368.77;71737.00;..;..
"Processed Tropical Fruits";"El Salvador";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Guatemala";10880.00;26160.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Angola";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"French Pacific Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Slovenia";..;..;..;..;..;..;..;..;19120.00;45360.00;..;..
"Processed Tropical Fruits";"Luxembourg";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Afghanistan";..;..;1249.61;5278.00;..;..;645.60;934.00;..;..;1713.00;12792.00
"Processed Tropical Fruits";"Paraguay";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Bulgaria";24821.30;40986.00;9914.67;29058.00;..;..;..;..;..;..;11793.00;24862.00
"Processed Tropical Fruits";"Mali (West Africa)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Nepal";..;..;..;..;5458.17;21549.00;10788.01;44576.00;9365.40;36302.00;..;..
"Processed Tropical Fruits";"Netherlands Antilles";..;..;..;..;323517.18;595200.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Ghana";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cote D' Ivoire (Ivory Coast)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Senegal";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Kiribati";..;..;254.22;550.00;..;..;5346.00;6107.00;4356.00;2985.00;..;..
"Processed Tropical Fruits";"Haiti";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Macau";7080.00;25200.00;43608.52;130014.00;28856.74;94013.00;67308.38;188802.00;48516.55;144263.00;89121.91;302858.00
"Processed Tropical Fruits";"Nicaragua";..;..;..;..;..;..;..;..;..;..;..;..
