"Commodity";"Country Of Destination";"2018 Quantity";"2018 FOB";"2019 Quantity";"2019 FOB"
"Basketworks";"American Samoa";..;..;..;..
"Basketworks";"Argentina";..;..;..;..
"Basketworks";"Australia";38557.00;214092.00;39139.00;223371.00
"Basketworks";"Austria";121.00;3797.00;16212.00;7192.00
"Basketworks";"Bahamas";..;..;..;..
"Basketworks";"Bahrain";..;..;..;..
"Basketworks";"Barbados";..;..;..;..
"Basketworks";"Belgium";3108.00;78839.00;2007.00;37242.00
"Basketworks";"Belize (British Honduras)";..;..;..;..
"Basketworks";"Bhutan";..;..;..;..
"Basketworks";"Bolivia";..;..;..;..
"Basketworks";"Brazil";324.00;5308.00;1992.00;20835.00
"Basketworks";"Brunei Darussalam";..;..;..;..
"Basketworks";"Canada";35393.00;135320.00;49845.00;136511.00
"Basketworks";"Canary Islands";..;..;..;..
"Basketworks";"Chile";890.00;4995.00;1066.00;3070.00
"Basketworks";"People'S Republic Of China";30863.00;124014.00;14285.00;50204.00
"Basketworks";"Taiwan (Rep. Of China)";5436.00;14107.00;1312.00;7002.00
"Basketworks";"Colombia";707.00;4752.00;..;..
"Basketworks";"Costa Rica";1732.00;16200.00;23.00;95.00
"Basketworks";"Cyprus";3.00;468.00;..;..
"Basketworks";"Czech Republic (Czechoslovakia)";8161.00;56456.00;2160.00;34164.00
"Basketworks";"Denmark";8971.00;93722.00;14344.00;159264.00
"Basketworks";"Dominican Republic";3876.00;39003.00;133.00;10812.00
"Basketworks";"Ecuador";1732.00;16200.00;..;..
"Basketworks";"Egypt Arab Republic";355.00;16939.00;4736.00;30000.00
"Basketworks";"Fiji";964.00;21252.00;700.00;13800.00
"Basketworks";"Finland";..;..;..;..
"Basketworks";"France";16964.00;164356.00;46693.00;155440.00
"Basketworks";"French Polynesia";2324.00;27797.00;45100.00;45606.00
"Basketworks";"French West Indies";..;..;..;..
"Basketworks";"Gabon";..;..;..;..
"Basketworks";"Germany";15398.00;107712.00;102951.00;401299.00
"Basketworks";"Greece";7438.00;81239.00;4515.00;26533.00
"Basketworks";"Guadeloupe";..;..;..;..
