"Commodity";"Country Of Destination";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB"
"Basketworks";"American Samoa";..;..;..;..
"Basketworks";"Argentina";..;..;..;..
"Basketworks";"Australia";18554.43;246992.00;5606.49;177412.00
"Basketworks";"Austria";1282.00;16411.00;330.00;5662.00
"Basketworks";"Bahamas";108.00;2415.00;..;..
"Basketworks";"Bahrain";..;..;..;..
"Basketworks";"Barbados";..;..;..;..
"Basketworks";"Belgium";844.60;17444.00;4504.00;38382.00
"Basketworks";"Belize (British Honduras)";..;..;..;..
"Basketworks";"Bhutan";..;..;..;..
"Basketworks";"Bolivia";..;..;..;..
"Basketworks";"Brazil";3027.00;21465.00;969.00;4659.00
"Basketworks";"Brunei Darussalam";10.00;194.00;100.00;6315.00
"Basketworks";"Canada";104489.90;442558.00;104732.61;353481.00
"Basketworks";"Canary Islands";..;..;..;..
"Basketworks";"Chile";1.00;5260.00;300.00;14444.00
"Basketworks";"People'S Republic Of China";180609.91;277641.00;268118.45;355506.00
"Basketworks";"Taiwan (Rep. Of China)";6354.00;5035.00;2003.66;2419.00
"Basketworks";"Colombia";..;..;..;..
"Basketworks";"Costa Rica";..;..;..;..
"Basketworks";"Cyprus";..;..;72.00;1440.00
"Basketworks";"Czech Republic (Czechoslovakia)";3118.00;32662.00;420.00;3868.00
"Basketworks";"Denmark";37780.00;184507.00;13064.61;74670.00
"Basketworks";"Dominican Republic";7073.00;69432.00;3506.00;38168.00
"Basketworks";"Ecuador";..;..;..;..
"Basketworks";"Egypt Arab Republic";..;..;..;..
"Basketworks";"Fiji";5764.00;45277.00;750.00;8000.00
"Basketworks";"Finland";..;..;..;..
"Basketworks";"France";44321.66;234185.00;9061.65;314052.00
"Basketworks";"French Polynesia";..;..;..;..
"Basketworks";"French West Indies";..;..;..;..
"Basketworks";"Gabon";..;..;..;..
"Basketworks";"Germany";12842.28;103700.00;12580.00;79281.00
"Basketworks";"Greece";..;..;..;..
"Basketworks";"Guadeloupe";..;..;..;..
"Basketworks";"Honduras, Republic Of";..;..;..;..
