Commodity,Country Of Destination,Year,Quantity,FOB,source_file
Activated Carbon,Chile,2025,98991.0,338800.0,PhilippineExports(2024-2025).csv
Activated Carbon,Colombia,2021,45130.0,91960.0,PhilippineExports(2020-2021).csv
Activated Carbon,Colombia,2023,28261.83,63900.0,PhilippineExports(2022-2023).csv
Activated Carbon,Colombia,2024,16700.0,24320.0,PhilippineExports(2024-2025).csv
Activated Carbon,Colombia,2025,8470.0,23360.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Congo, Rep. Of",2021,109965.27,284240.0,PhilippineExports(2020-2021).csv
Activated Carbon,"Congo, Rep. Of",2022,366966.8,1028500.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Congo, Rep. Of",2023,283512.95,702900.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Congo, Rep. Of",2024,653909.0,1276000.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Congo, Rep. Of",2025,361158.0,866800.0,PhilippineExports(2024-2025).csv
Activated Carbon,Cote D' Ivoire (Ivory Coast),2021,297949.84,667216.0,PhilippineExports(2020-2021).csv
Activated Carbon,Cote D' Ivoire (Ivory Coast),2022,129741.18,363000.0,PhilippineExports(2022-2023).csv
Activated Carbon,Cote D' Ivoire (Ivory Coast),2023,272412.82,755700.0,PhilippineExports(2022-2023).csv
Activated Carbon,Cote D' Ivoire (Ivory Coast),2024,69803.0,105514.0,PhilippineExports(2024-2025).csv
Activated Carbon,Cote D' Ivoire (Ivory Coast),2025,71096.0,96800.0,PhilippineExports(2024-2025).csv
Activated Carbon,Croatia,2023,72600.0,122421.0,PhilippineExports(2022-2023).csv
Activated Carbon,Dominican Republic,2025,20500.0,36600.0,PhilippineExports(2024-2025).csv
Activated Carbon,Ecuador,2025,40160.0,40000.0,PhilippineExports(2024-2025).csv
Activated Carbon,Egypt Arab Republic,2023,41202.82,79090.0,PhilippineExports(2022-2023).csv
Activated Carbon,Estonia,2021,211085.29,433400.0,PhilippineExports(2020-2021).csv
Activated Carbon,Estonia,2022,110000.0,275660.0,PhilippineExports(2022-2023).csv
Activated Carbon,Estonia,2023,431100.94,781440.0,PhilippineExports(2022-2023).csv
Activated Carbon,Estonia,2024,1248670.0,1992058.0,PhilippineExports(2024-2025).csv
Activated Carbon,Estonia,2025,521771.0,1026357.0,PhilippineExports(2024-2025).csv
Activated Carbon,Finland,2021,1152689.49,1417911.0,PhilippineExports(2020-2021).csv
Activated Carbon,Finland,2022,534555.91,757811.0,PhilippineExports(2022-2023).csv
Activated Carbon,Finland,2023,168978.89,267567.0,PhilippineExports(2022-2023).csv
Activated Carbon,Finland,2024,81510.0,69202.0,PhilippineExports(2024-2025).csv
Activated Carbon,Finland,2025,79097.0,127644.0,PhilippineExports(2024-2025).csv
Activated Carbon,France,2021,211472.91,459672.0,PhilippineExports(2020-2021).csv
Activated Carbon,France,2022,540866.06,1069208.0,PhilippineExports(2022-2023).csv
Activated Carbon,France,2023,501629.56,1060310.0,PhilippineExports(2022-2023).csv
Activated Carbon,France,2024,839370.0,1672699.0,PhilippineExports(2024-2025).csv
Activated Carbon,France,2025,546970.0,1550849.0,PhilippineExports(2024-2025).csv
Activated Carbon,Georgia,2023,175485.13,313744.0,PhilippineExports(2022-2023).csv
Activated Carbon,Georgia,2024,143542.0,242794.0,PhilippineExports(2024-2025).csv
Activated Carbon,Germany,2021,13190955.34,29774876.0,PhilippineExports(2020-2021).csv
Activated Carbon,Germany,2022,14193138.74,30445632.0,PhilippineExports(2022-2023).csv
Activated Carbon,Germany,2023,8238708.03,17213869.0,PhilippineExports(2022-2023).csv
Activated Carbon,Germany,2024,11893796.8,22280586.0,PhilippineExports(2024-2025).csv
Activated Carbon,Germany,2025,11295154.2,30626204.0,PhilippineExports(2024-2025).csv
Activated Carbon,Ghana,2021,608665.62,1323300.0,PhilippineExports(2020-2021).csv
Activated Carbon,Ghana,2022,281117.93,785400.0,PhilippineExports(2022-2023).csv
Activated Carbon,Ghana,2023,700693.22,1453290.0,PhilippineExports(2022-2023).csv
Activated Carbon,Ghana,2024,789048.0,1408000.0,PhilippineExports(2024-2025).csv
Activated Carbon,Ghana,2025,1313447.0,3360920.0,PhilippineExports(2024-2025).csv
Activated Carbon,Greece,2021,72600.0,69382.0,PhilippineExports(2020-2021).csv
Activated Carbon,Greece,2022,48400.0,53203.0,PhilippineExports(2022-2023).csv
Activated Carbon,Greece,2023,71183.4,96332.0,PhilippineExports(2022-2023).csv
Activated Carbon,Greece,2024,135138.0,170419.0,PhilippineExports(2024-2025).csv
Activated Carbon,Greece,2025,90177.0,162966.0,PhilippineExports(2024-2025).csv
Activated Carbon,Guatemala,2021,44000.0,91960.0,PhilippineExports(2020-2021).csv
Activated Carbon,Guinea,2021,66560.0,142340.0,PhilippineExports(2020-2021).csv
Activated Carbon,Guinea,2023,45958.83,83480.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Honduras, Republic Of",2023,88000.0,152154.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Honduras, Republic Of",2024,90228.0,147797.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Honduras, Republic Of",2025,90228.0,222678.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Hong Kong, China",2021,40950.0,38490.0,PhilippineExports(2020-2021).csv
