"Commodity";"Country Of Destination";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Basketworks";"Hungary";..;..;..;..
"Basketworks";"Iceland";..;..;..;..
"Basketworks";"India";43950.00;60714.00;10173.40;28467.00
"Basketworks";"Indonesia";642.40;15750.00;798.62;18338.00
"Basketworks";"Ireland";..;..;..;..
"Basketworks";"Israel";1795.00;9504.00;168.30;9897.00
"Basketworks";"Italy";47261.60;419303.00;23531.30;248263.00
"Basketworks";"Jamaica (Excludes Cayman Is.,Turks,Caicos)";..;..;..;..
"Basketworks";"Japan";45834.23;770979.00;24820.85;521953.00
"Basketworks";"Okinawa";..;..;..;..
"Basketworks";"Cambodia (Democratic Kampuchea)";..;..;..;..
"Basketworks";"Kenya";..;..;..;..
"Basketworks";"Republic Of Korea";12729.05;32371.00;9098.55;35960.00
"Basketworks";"Kuwait";..;..;..;..
"Basketworks";"Lebanon";26.70;918.00;..;..
"Basketworks";"Malaysia";6976.85;68414.00;6728.45;53111.00
"Basketworks";"Sabah (Comprises Malaysia)";..;..;..;..
"Basketworks";"Malta";..;..;525.00;3250.00
"Basketworks";"Mauritius";..;..;..;..
"Basketworks";"Mexico";13004.93;114967.00;7394.65;78627.00
"Basketworks";"Netherlands";106855.00;67751.00;56399.54;12155.00
"Basketworks";"New Caledonia";..;..;..;..
"Basketworks";"Vanuatu (New Hebrides)";..;..;..;..
"Basketworks";"New Zealand";5550.00;34194.00;113.00;11818.00
"Basketworks";"Nigeria";682.00;4675.00;643.00;5434.00
"Basketworks";"Norway";..;..;..;..
"Basketworks";"Pakistan, Islamic Rep. Of";..;..;..;..
"Basketworks";"Palau, Rep. Of";..;..;500.00;500.00
"Basketworks";"Papua New Guinea";..;..;..;..
"Basketworks";"Peru";..;..;..;..
"Basketworks";"Poland";2290.50;6063.00;..;..
"Basketworks";"Portugal";3438.25;9180.00;3632.00;14804.00
"Basketworks";"Puerto Rico";..;..;..;..
"Basketworks";"Reunion";..;..;..;..
"Basketworks";"San Marino";..;..;..;..
"Basketworks";"Saudi Arabia";3222.76;24895.00;266.47;3374.00
"Basketworks";"Singapore";2063.83;15443.00;8145.20;77948.00
"Basketworks";"Slovak Republic (Slovakia)";..;..;..;..
"Basketworks";"South Africa, Rep. Of";..;..;534.00;12640.00
"Basketworks";"Spain";1131.00;16992.00;5116.50;38117.00
"Basketworks";"Sri Lanka  (Ceylon)";..;..;..;..
"Basketworks";"Sweden";8363.60;71431.00;675.00;5558.00
"Basketworks";"Switzerland";593.40;12259.00;..;..
"Basketworks";"Thailand";3023.25;9393.00;147028.45;49750.00
"Basketworks";"Trinidad And Tobago";..;..;..;..
"Basketworks";"Pacific Trust Territory";..;..;..;..
"Basketworks";"Turkey";8834.90;76956.00;5234.75;52458.00
"Basketworks";"Turks And Caicos Islands";..;..;..;..
"Basketworks";"Ukraine (Ukrainian S.S.R.)";3300.00;8837.00;..;..
"Basketworks";"United Arab Emirates, N.E.S.";25130.31;171862.00;21092.63;144364.00
"Basketworks";"Oman";..;..;..;..
"Basketworks";"Qatar";..;..;..;..
"Basketworks";"Uk Of Great Britain And N. Ireland";45640.58;163841.00;21737.56;428609.00
"Basketworks";"United States Of America";4931901.21;33465257.00;5098987.15;29902234.00
"Basketworks";"Guam";186.50;956.00;108.00;406.00
"Basketworks";"Hawaii";..;..;..;..
"Basketworks";"Virgin Islands (U.S.)";..;..;385.40;16530.00
"Basketworks";"Uruguay";330.00;1375.00;390.00;1755.00
"Basketworks";"Venezuela";..;..;..;..
"Basketworks";"Vietnam";393.00;8797.00;851.27;16419.00
"Basketworks";"Virgin Islands (British)";..;..;..;..
"Basketworks";"Jordan";..;..;..;..
"Basketworks";"Micronesia, Federated States Of";..;..;1250.00;2125.00
"Basketworks";"Morocco";..;..;..;..
"Basketworks";"Panama";..;..;..;..
"Basketworks";"Antigua And Barbuda";..;..;..;..
"Basketworks";"Aruba";..;..;..;..
"Basketworks";"Cook Islands";..;..;..;..
"Basketworks";"Maldives, Rep. Of";..;..;..;..
"Basketworks";"Syrian Arab Republic";..;..;..;..
"Basketworks";"Russian Federation";..;..;..;..
"Basketworks";"Uzbekistan";..;..;..;..
"Basketworks";"Swaziland (Eswatini)";..;..;..;..
"Basketworks";"Bangladesh";..;..;..;..
"Basketworks";"Bermuda";..;..;..;..
"Basketworks";"Gibraltar";..;..;..;..
"Basketworks";"Marshall Islands, Rep. Of";..;..;..;..
"Basketworks";"Romania";..;..;..;..
"Basketworks";"Latvia (Latvian Soviet Socialist Rep.)";..;..;..;..
"Basketworks";"Yemen, Republic Of";..;..;..;..
"Basketworks";"Alaska";..;..;..;..
"Basketworks";"Myanmar, Union Of (Burma)";..;..;..;..
"Basketworks";"Grenada";..;..;..;..
"Basketworks";"Solomon Islands (British)";..;..;..;..
"Basketworks";"Togo";..;..;..;..
"Basketworks";"Burkina Faso (Upper Volta)";..;..;..;..
"Basketworks";"Zaire (Democratic Republic Of Congo)";..;..;..;..
"Basketworks";"Zambia";..;..;..;..
"Basketworks";"Algeria";..;..;..;..
"Basketworks";"El Salvador";..;..;..;..
"Basketworks";"Guatemala";..;..;..;..
"Basketworks";"Angola";..;..;..;..
"Basketworks";"French Pacific Islands";..;..;..;..
"Basketworks";"Slovenia";..;..;..;..
"Basketworks";"Luxembourg";..;..;..;..
"Basketworks";"Afghanistan";..;..;..;..
"Basketworks";"Paraguay";..;..;..;..
"Basketworks";"Bulgaria";..;..;..;..
"Basketworks";"Mali (West Africa)";..;..;..;..
"Basketworks";"Nepal";..;..;..;..
"Basketworks";"Netherlands Antilles";..;..;..;..
"Basketworks";"Ghana";..;..;..;..
"Basketworks";"Cote D' Ivoire (Ivory Coast)";..;..;..;..
"Basketworks";"Senegal";..;..;..;..
"Basketworks";"Kiribati";..;..;..;..
"Basketworks";"Haiti";..;..;..;..
"Basketworks";"Macau";..;..;..;..
"Basketworks";"Nicaragua";..;..;..;..
"Basketworks";"Spanish Africa, N.E.S.";..;..;..;..
"Basketworks";"Tanzania, United Rep. Of";..;..;..;..
"Basketworks";"Tunisia";..;..;..;..
"Basketworks";"Bosnia And Herzegovina";..;..;..;..
"Basketworks";"Croatia";..;..;..;..
"Basketworks";"Estonia";..;..;..;..
"Basketworks";"Iran, Islamic Rep. Of";..;..;..;..
"Basketworks";"Lithuania";..;..;..;..
"Basketworks";"Mozambique";..;..;..;..
"Basketworks";"Namibia";..;..;..;..
"Basketworks";"Nauru, Rep. Of";..;..;..;..
"Basketworks";"Zimbabwe (Rhodesia)";..;..;..;..
"Basketworks";"Samoa (Western Samoa)";..;..;..;..
"Basketworks";"Benin, People'S Rep. Of (Dahomey)";..;..;..;..
"Basketworks";"Congo, Rep. Of";..;..;..;..
"Basketworks";"Cuba";..;..;..;..
"Basketworks";"French Guiana";..;..;..;..
"Basketworks";"Lesotho";..;..;..;..
"Basketworks";"Martinique";..;..;..;..
"Basketworks";"St. Helena";..;..;..;..
"Basketworks";"Libyan Arab Jamahiriya";..;..;..;..
"Basketworks";"Andorra";..;..;..;..
"Basketworks";"Cayman Islands";..;..;..;..
"Basketworks";"Liechtenstein";..;..;..;..
"Basketworks";"Sarawak (Comprises Malaysia)";..;..;..;..
"Basketworks";"Seychelles Republic";2500.00;3200.00;..;..
"Basketworks";"Somalia, Democratic Rep. Of";..;..;..;..
"Basketworks";"Lao People'S Democratic Republic (Laos)";..;..;..;..
"Basketworks";"Mongolia";..;..;..;..
"Basketworks";"Belarus (Byelorussian S.S.R.)";..;..;..;..
"Basketworks";"British West Africa(Exc. St. Helena)";..;..;..;..
"Basketworks";"Other Pacific Islands, N.E.S.   6/";..;..;..;..
"Basketworks";"Sierra Leone";..;..;..;..
"Basketworks";"Sudan";..;..;..;..
"Basketworks";"Uganda";..;..;..;..
"Basketworks";"Malawi";..;..;..;..
"Basketworks";"Tokelau";..;..;..;..
"Basketworks";"Niger";..;..;..;..
"Basketworks";"Madagascar, Democratic Rep. Of";..;..;..;..
"Basketworks";"Guyana";..;..;..;..
"Basketworks";"Cameroon";..;..;..;..
"Basketworks";"Curacao";..;..;..;..
"Basketworks";"Djibouti (Affars & Issas)";..;..;..;..
"Basketworks";"Timor-Leste (East Timor)";..;..;..;..
"Basketworks";"Ethiopia";..;..;..;..
"Basketworks";"French Oceania";..;..;..;..
"Basketworks";"Iraq";..;..;..;..
"Basketworks";"Kazakhstan";..;..;..;..
"Basketworks";"Liberia";..;..;..;..
"Basketworks";"Rwanda";..;..;..;..
"Basketworks";"Suriname";..;..;..;..
"Basketworks";"Macedonia, The Former Yugoslav Rep. Of";..;..;..;..
"Basketworks";"St. Vincent And Grenadines";..;..;..;..
"Basketworks";"Botswana";..;..;..;..
"Basketworks";"Monaco";..;..;..;..
"Basketworks";"Tonga";..;..;..;..
"Basketworks";"Guinea";..;..;..;..
"Basketworks";"British Indian Ocean Territory";..;..;..;..
"Basketworks";"Mauritania";..;..;..;..
"Basketworks";"Eritrea";..;..;..;..
"Basketworks";"Gambia";..;..;..;..
"Basketworks";"U.S. Oceania, N.E.S.";..;..;..;..
"Basketworks";"U.S. Minor Outlying Islands";..;..;..;..
"Basketworks";"Yemen Arab Republic";..;..;..;..
"Basketworks";"Azores";..;..;..;..
"Basketworks";"Albania";..;..;..;..
"Basketworks";"Antartica";..;..;..;..
"Basketworks";"Madeira Islands";..;..;..;..
"Basketworks";"Dominica";..;..;..;..
"Basketworks";"Northern Mariana Islands";..;..;..;..
"Basketworks";"Sao Tome And Principe, Dem. Rep. Of";..;..;..;..
"Basketworks";"Tajikistan";..;..;..;..
"Basketworks";"Armenia";..;..;..;..
"Basketworks";"Midway Islands";..;..;..;..
"Basketworks";"Moldova, Republic Of";..;..;..;..
"Basketworks";"Greenland";..;..;..;..
"Basketworks";"Nansei Islands";..;..;..;..
"Basketworks";"Democratic People'S Rep. Of Korea";..;..;..;..
"Basketworks";"Chinese Taipei";..;..;..;..
"Basketworks";"Turkmenistan";..;..;..;..
"Basketworks";"Byelorussian Soviet Socialist Rep.";..;..;..;..
"Basketworks";"Panama Canal Zone";..;..;..;..
"Basketworks";"Gilbert And Ellice Islands";..;..;..;..
"Basketworks";"Ceuta And Melilla";..;..;..;..
"Basketworks";"Christmas Island";..;..;..;..
"Basketworks";"Guinea-Bissau, Rep. Of";..;..;..;..
"Basketworks";"Burundi";..;..;..;..
"Basketworks";"Cocos Island";..;..;..;..
"Basketworks";"French Antilles";..;..;..;..
"Basketworks";"Cape Verde";..;..;..;..
"Basketworks";"Falkland Islands (Malvinas)";..;..;..;..
"Basketworks";"Portuguese Timor And Dependencies";..;..;..;..
"Basketworks";"Yemen, People'S Democratic Republic";..;..;..;..
"Basketworks";"Central African Republic";..;..;..;..
"Basketworks";"Azerbaijan";..;..;..;..
"Basketworks";"British Pacific Islands";..;..;..;..
"Basketworks";"Equatorial Guinea, Rep. Of";..;..;..;..
"Basketworks";"French Southern Territory";..;..;..;..
"Basketworks";"Kyrgyzstan";..;..;..;..
"Basketworks";"Opt. Ctry.Comb. Netherlands & Germany";..;..;..;..
"Basketworks";"Mayotte";..;..;..;..
"Basketworks";"Tuvalu";..;..;..;..
"Basketworks";"Razerbaijani";..;..;..;..
"Basketworks";"Georgia";..;..;..;..
"Basketworks";"Montserrat";..;..;..;..
"Basketworks";"South And Southeast Asia, N.E.S.";..;..;..;..
"Basketworks";"Bouvet Island";..;..;..;..
"Basketworks";"Comoros, Rep. Of";..;..;..;..
"Basketworks";"St. Pierre And Miguelon";..;..;..;..
"Basketworks";"Norfolk Island";..;..;..;..
"Basketworks";"Leeward & Windward Is.  5/";..;..;..;..
"Basketworks";"St.Kitts & Nevis (St.Christopher & Nevis)";..;..;..;..
"Basketworks";"French Indian Ocean Areas";..;..;..;..
"Basketworks";"Wake Islands";..;..;..;..
"Basketworks";"St. Lucia";..;..;..;..
"Basketworks";"Western Portuguese Africa";..;..;..;..
"Basketworks";"Wallis And Futuna Islands";..;..;..;..
"Basketworks";"Anguilla";..;..;..;..
"Basketworks";"Vatican City State";..;..;..;..
"Basketworks";"Western Sahara (Spanish Sahara)";..;..;..;..
"Basketworks";"Serbia";..;..;..;..
"Basketworks";"Faeroe Islands";..;..;..;..
"Basketworks";"Heard And Mcdonald Island";..;..;..;..
"Basketworks";"Not Specified";..;..;..;..
"Basketworks";"Chad";..;..;..;..
"Basketworks";"Montenegro";..;..;..;..
"Basketworks";"Neutral Zone";..;..;..;..
"Basketworks";"Pitcairn Island";..;..;..;..
"Basketworks";"Saint Martin";..;..;..;..
"Basketworks";"Kosovo";..;..;..;..
"Basketworks";"South Georgia And The South Sandwich Islands";..;..;..;..
"Basketworks";"Svalbard And Jan Mayen";..;..;..;..
"Basketworks";"Channel Islands";..;..;..;..
"Christmas Decor";"American Samoa";..;..;..;..
"Christmas Decor";"Argentina";..;..;2781.00;36064.00
"Christmas Decor";"Australia";47641.50;657063.00;60774.86;696793.00
"Christmas Decor";"Austria";4948.50;49694.00;343.30;19824.00
"Christmas Decor";"Bahamas";..;..;..;..
"Christmas Decor";"Bahrain";..;..;..;..
"Christmas Decor";"Barbados";..;..;..;..
"Christmas Decor";"Belgium";19368.55;297395.00;13061.20;273477.00
"Christmas Decor";"Belize (British Honduras)";..;..;..;..
"Christmas Decor";"Bhutan";..;..;..;..
"Christmas Decor";"Bolivia";..;..;..;..
"Christmas Decor";"Brazil";15135.15;150606.00;14065.07;166731.00
"Christmas Decor";"Brunei Darussalam";267.44;1241.00;..;..
"Christmas Decor";"Canada";79256.18;344113.00;91688.56;256009.00
"Christmas Decor";"Canary Islands";..;..;..;..
"Christmas Decor";"Chile";770.00;4955.00;7445.40;16666.00
"Christmas Decor";"People'S Republic Of China";735.00;3480.00;24230.45;21598.00
"Christmas Decor";"Taiwan (Rep. Of China)";24010.36;1583.00;31085.50;27500.00
"Christmas Decor";"Colombia";2228.70;30514.00;256.20;1600.00
"Christmas Decor";"Costa Rica";..;..;..;..
"Christmas Decor";"Cyprus";2230.00;13801.00;..;..
"Christmas Decor";"Czech Republic (Czechoslovakia)";..;..;..;..
"Christmas Decor";"Denmark";4823.72;135622.00;4113.78;132320.00
"Christmas Decor";"Dominican Republic";..;..;904.00;17990.00
"Christmas Decor";"Ecuador";..;..;..;..
"Christmas Decor";"Egypt Arab Republic";..;..;..;..
"Christmas Decor";"Fiji";..;..;..;..
"Christmas Decor";"Finland";..;..;..;..
"Christmas Decor";"France";6589.50;57442.00;150.00;3475.00
"Christmas Decor";"French Polynesia";..;..;..;..
"Christmas Decor";"French West Indies";..;..;..;..
"Christmas Decor";"Gabon";..;..;..;..
"Christmas Decor";"Germany";25994.26;308006.00;16478.52;333148.00
"Christmas Decor";"Greece";..;..;336.00;5038.00
"Christmas Decor";"Guadeloupe";..;..;..;..
"Christmas Decor";"Honduras, Republic Of";..;..;..;..
"Christmas Decor";"Hong Kong, China";57964.06;5294125.00;205348.51;6248782.00
"Christmas Decor";"Hungary";236.50;5091.00;..;..
"Christmas Decor";"Iceland";..;..;..;..
"Christmas Decor";"India";7600.00;17296.00;6321.00;44218.00
"Christmas Decor";"Indonesia";10000.00;18180.00;3384.60;5629.00
"Christmas Decor";"Ireland";15855.32;199198.00;17057.99;226257.00
"Christmas Decor";"Israel";319.50;6426.00;..;..
"Christmas Decor";"Italy";39814.10;458401.00;53644.33;693488.00
"Christmas Decor";"Jamaica (Excludes Cayman Is.,Turks,Caicos)";..;..;..;..
"Christmas Decor";"Japan";30594.28;351642.00;55552.40;355095.00
"Christmas Decor";"Okinawa";..;..;..;..
"Christmas Decor";"Cambodia (Democratic Kampuchea)";50760.00;96890.00;37389.50;192325.00
"Christmas Decor";"Kenya";..;..;..;..
"Christmas Decor";"Republic Of Korea";158486.93;409383.00;86921.00;90840.00
"Christmas Decor";"Kuwait";..;..;..;..
"Christmas Decor";"Lebanon";3599.50;69079.00;3024.00;52761.00
"Christmas Decor";"Malaysia";74284.41;277981.00;119445.05;198582.00
"Christmas Decor";"Sabah (Comprises Malaysia)";..;..;..;..
"Christmas Decor";"Malta";1620.50;32974.00;299.00;6617.00
"Christmas Decor";"Mauritius";5673.75;19894.00;..;..
"Christmas Decor";"Mexico";864.60;15669.00;9000.90;53129.00
"Christmas Decor";"Netherlands";8113.69;107163.00;6933.81;113447.00
"Christmas Decor";"New Caledonia";..;..;..;..
"Christmas Decor";"Vanuatu (New Hebrides)";..;..;4255.00;9582.00
"Christmas Decor";"New Zealand";3315.20;165501.00;8793.70;157030.00
"Christmas Decor";"Nigeria";6400.00;7781.00;..;..
"Christmas Decor";"Norway";8092.20;93531.00;5427.60;58848.00
"Christmas Decor";"Pakistan, Islamic Rep. Of";..;..;2693.00;29801.00
"Christmas Decor";"Palau, Rep. Of";5462.00;6651.00;..;..
"Christmas Decor";"Papua New Guinea";15749.07;34527.00;27922.00;44564.00
"Christmas Decor";"Peru";790.80;5066.00;854.40;6261.00
"Christmas Decor";"Poland";..;..;505.00;1391.00
"Christmas Decor";"Portugal";7831.50;78436.00;11402.90;111389.00
"Christmas Decor";"Puerto Rico";..;..;..;..
"Christmas Decor";"Reunion";..;..;..;..
"Christmas Decor";"San Marino";..;..;..;..
"Christmas Decor";"Saudi Arabia";427.94;17002.00;210.00;17370.00
"Christmas Decor";"Singapore";112122.24;161167.00;145503.88;260314.00
"Christmas Decor";"Slovak Republic (Slovakia)";..;..;..;..
"Christmas Decor";"South Africa, Rep. Of";..;..;..;..
"Christmas Decor";"Spain";6740.80;63464.00;12785.65;99942.00
"Christmas Decor";"Sri Lanka  (Ceylon)";..;..;..;..
"Christmas Decor";"Sweden";30200.00;117686.00;13364.47;85708.00
"Christmas Decor";"Switzerland";231.00;5875.00;5368.00;5418.00
"Christmas Decor";"Thailand";1869.27;5350.00;16379.20;106260.00
"Christmas Decor";"Trinidad And Tobago";..;..;..;..
"Christmas Decor";"Pacific Trust Territory";..;..;..;..
"Christmas Decor";"Turkey";..;..;..;..
"Christmas Decor";"Turks And Caicos Islands";..;..;..;..
"Christmas Decor";"Ukraine (Ukrainian S.S.R.)";1075.50;20681.00;..;..
"Christmas Decor";"United Arab Emirates, N.E.S.";2989.98;38845.00;8933.95;93428.00
"Christmas Decor";"Oman";..;..;..;..
"Christmas Decor";"Qatar";1418.00;13540.00;..;..
"Christmas Decor";"Uk Of Great Britain And N. Ireland";23714.55;244012.00;15873.36;153682.00
"Christmas Decor";"United States Of America";6992192.03;46386172.00;7992293.17;58372655.00
"Christmas Decor";"Guam";1465.00;7318.00;3973.12;15839.00
"Christmas Decor";"Hawaii";..;..;..;..
"Christmas Decor";"Virgin Islands (U.S.)";..;..;..;..
"Christmas Decor";"Uruguay";..;..;..;..
"Christmas Decor";"Venezuela";..;..;..;..
"Christmas Decor";"Vietnam";23244.00;129174.00;7206.89;120243.00
"Christmas Decor";"Virgin Islands (British)";..;..;..;..
"Christmas Decor";"Jordan";..;..;475.00;8500.00
"Christmas Decor";"Micronesia, Federated States Of";700.00;1661.00;15495.00;17099.00
"Christmas Decor";"Morocco";..;..;..;..
"Christmas Decor";"Panama";1432.60;10686.00;1782.00;16658.00
"Christmas Decor";"Antigua And Barbuda";..;..;..;..
"Christmas Decor";"Aruba";..;..;..;..
"Christmas Decor";"Cook Islands";..;..;..;..
"Christmas Decor";"Maldives, Rep. Of";..;..;..;..
"Christmas Decor";"Syrian Arab Republic";..;..;..;..
"Christmas Decor";"Russian Federation";..;..;1103.50;16547.00
"Christmas Decor";"Uzbekistan";..;..;..;..
"Christmas Decor";"Swaziland (Eswatini)";..;..;..;..
"Christmas Decor";"Bangladesh";..;..;..;..
"Christmas Decor";"Bermuda";..;..;..;..
"Christmas Decor";"Gibraltar";..;..;..;..
"Christmas Decor";"Marshall Islands, Rep. Of";1564.00;4810.00;..;..
"Christmas Decor";"Romania";..;..;2514.00;21658.00
"Christmas Decor";"Latvia (Latvian Soviet Socialist Rep.)";4542.20;113666.00;1570.60;41818.00
"Christmas Decor";"Yemen, Republic Of";..;..;..;..
"Christmas Decor";"Alaska";..;..;..;..
"Christmas Decor";"Myanmar, Union Of (Burma)";..;..;..;..
"Christmas Decor";"Grenada";..;..;..;..
"Christmas Decor";"Solomon Islands (British)";..;..;17154.42;11766.00
"Christmas Decor";"Togo";..;..;..;..
"Christmas Decor";"Burkina Faso (Upper Volta)";..;..;..;..
"Christmas Decor";"Zaire (Democratic Republic Of Congo)";..;..;..;..
"Christmas Decor";"Zambia";..;..;..;..
"Christmas Decor";"Algeria";..;..;..;..
"Christmas Decor";"El Salvador";..;..;..;..
"Christmas Decor";"Guatemala";..;..;..;..
"Christmas Decor";"Angola";..;..;..;..
"Christmas Decor";"French Pacific Islands";..;..;..;..
"Christmas Decor";"Slovenia";..;..;..;..
"Christmas Decor";"Luxembourg";..;..;..;..
"Christmas Decor";"Afghanistan";40639.98;137962.00;..;..
"Christmas Decor";"Paraguay";..;..;..;..
"Christmas Decor";"Bulgaria";1060.90;22709.00;657.90;17017.00
"Christmas Decor";"Mali (West Africa)";..;..;..;..
"Christmas Decor";"Nepal";..;..;..;..
"Christmas Decor";"Netherlands Antilles";..;..;..;..
"Christmas Decor";"Ghana";5400.00;7781.00;..;..
"Christmas Decor";"Cote D' Ivoire (Ivory Coast)";..;..;..;..
"Christmas Decor";"Senegal";..;..;..;..
"Christmas Decor";"Kiribati";..;..;..;..
"Christmas Decor";"Haiti";..;..;..;..
"Christmas Decor";"Macau";..;..;15.20;542.00
"Christmas Decor";"Nicaragua";..;..;1965.50;32412.00
"Christmas Decor";"Spanish Africa, N.E.S.";..;..;..;..
"Christmas Decor";"Tanzania, United Rep. Of";..;..;..;..
"Christmas Decor";"Tunisia";..;..;..;..
"Christmas Decor";"Bosnia And Herzegovina";..;..;..;..
"Christmas Decor";"Croatia";..;..;..;..
"Christmas Decor";"Estonia";399.34;9961.00;692.80;16999.00
"Christmas Decor";"Iran, Islamic Rep. Of";..;..;..;..
"Christmas Decor";"Lithuania";..;..;..;..
"Christmas Decor";"Mozambique";..;..;..;..
"Christmas Decor";"Namibia";..;..;..;..
"Christmas Decor";"Nauru, Rep. Of";..;..;..;..
"Christmas Decor";"Zimbabwe (Rhodesia)";..;..;..;..
"Christmas Decor";"Samoa (Western Samoa)";..;..;..;..
"Christmas Decor";"Benin, People'S Rep. Of (Dahomey)";..;..;..;..
"Christmas Decor";"Congo, Rep. Of";..;..;..;..
"Christmas Decor";"Cuba";..;..;..;..
"Christmas Decor";"French Guiana";..;..;..;..
"Christmas Decor";"Lesotho";..;..;..;..
"Christmas Decor";"Martinique";..;..;..;..
"Christmas Decor";"St. Helena";..;..;..;..
"Christmas Decor";"Libyan Arab Jamahiriya";..;..;..;..
"Christmas Decor";"Andorra";..;..;..;..
"Christmas Decor";"Cayman Islands";..;..;..;..
"Christmas Decor";"Liechtenstein";..;..;..;..
"Christmas Decor";"Sarawak (Comprises Malaysia)";..;..;..;..
"Christmas Decor";"Seychelles Republic";..;..;..;..
"Christmas Decor";"Somalia, Democratic Rep. Of";..;..;..;..
"Christmas Decor";"Lao People'S Democratic Republic (Laos)";..;..;..;..
"Christmas Decor";"Mongolia";800.00;3620.00;..;..
"Christmas Decor";"Belarus (Byelorussian S.S.R.)";..;..;..;..
"Christmas Decor";"British West Africa(Exc. St. Helena)";..;..;..;..
"Christmas Decor";"Other Pacific Islands, N.E.S.   6/";..;..;..;..
"Christmas Decor";"Sierra Leone";..;..;..;..
"Christmas Decor";"Sudan";..;..;..;..
"Christmas Decor";"Uganda";..;..;..;..
"Christmas Decor";"Malawi";..;..;..;..
"Christmas Decor";"Tokelau";..;..;..;..
"Christmas Decor";"Niger";..;..;..;..
"Christmas Decor";"Madagascar, Democratic Rep. Of";..;..;..;..
"Christmas Decor";"Guyana";..;..;..;..
"Christmas Decor";"Cameroon";..;..;..;..
"Christmas Decor";"Curacao";..;..;..;..
"Christmas Decor";"Djibouti (Affars & Issas)";..;..;..;..
"Christmas Decor";"Timor-Leste (East Timor)";7050.00;11429.00;..;..
"Christmas Decor";"Ethiopia";..;..;..;..
"Christmas Decor";"French Oceania";..;..;..;..
"Christmas Decor";"Iraq";..;..;..;..
"Christmas Decor";"Kazakhstan";..;..;..;..
"Christmas Decor";"Liberia";..;..;..;..
"Christmas Decor";"Rwanda";..;..;..;..
"Christmas Decor";"Suriname";..;..;..;..
"Christmas Decor";"Macedonia, The Former Yugoslav Rep. Of";..;..;..;..
"Christmas Decor";"St. Vincent And Grenadines";..;..;..;..
"Christmas Decor";"Botswana";..;..;..;..
"Christmas Decor";"Monaco";..;..;..;..
"Christmas Decor";"Tonga";..;..;..;..
"Christmas Decor";"Guinea";..;..;..;..
"Christmas Decor";"British Indian Ocean Territory";..;..;..;..
"Christmas Decor";"Mauritania";..;..;..;..
"Christmas Decor";"Eritrea";..;..;..;..
"Christmas Decor";"Gambia";..;..;..;..
"Christmas Decor";"U.S. Oceania, N.E.S.";..;..;..;..
"Christmas Decor";"U.S. Minor Outlying Islands";..;..;..;..
"Christmas Decor";"Yemen Arab Republic";..;..;..;..
"Christmas Decor";"Azores";..;..;..;..
"Christmas Decor";"Albania";..;..;585.90;11752.00
"Christmas Decor";"Antartica";..;..;..;..
"Christmas Decor";"Madeira Islands";..;..;..;..
"Christmas Decor";"Dominica";..;..;..;..
"Christmas Decor";"Northern Mariana Islands";..;..;4615.00;4628.00
"Christmas Decor";"Sao Tome And Principe, Dem. Rep. Of";..;..;..;..
"Christmas Decor";"Tajikistan";..;..;..;..
"Christmas Decor";"Armenia";..;..;..;..
"Christmas Decor";"Midway Islands";..;..;..;..
