"Commodity";"Country Of Destination";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Basketworks";"American Samoa";..;..;..;..
"Basketworks";"Argentina";..;..;..;..
"Basketworks";"Australia";8789.79;198248.00;5408.57;370141.00
"Basketworks";"Austria";229.50;6366.00;167.75;9311.00
"Basketworks";"Bahamas";..;..;..;..
"Basketworks";"Bahrain";..;..;..;..
"Basketworks";"Barbados";..;..;..;..
"Basketworks";"Belgium";3908.00;25384.00;672.00;39256.00
"Basketworks";"Belize (British Honduras)";..;..;..;..
"Basketworks";"Bhutan";..;..;..;..
"Basketworks";"Bolivia";..;..;..;..
"Basketworks";"Brazil";2458.72;21203.00;1306.11;21937.00
"Basketworks";"Brunei Darussalam";..;..;..;..
"Basketworks";"Canada";69000.45;461846.00;84756.15;448418.00
"Basketworks";"Canary Islands";..;..;..;..
"Basketworks";"Chile";1169.00;5260.00;219.00;3680.00
"Basketworks";"People'S Republic Of China";107425.35;304670.00;30254.30;153037.00
"Basketworks";"Taiwan (Rep. Of China)";1274.10;7350.00;..;..
"Basketworks";"Colombia";..;..;..;..
"Basketworks";"Costa Rica";1027.20;7314.00;..;..
"Basketworks";"Cyprus";..;..;1056.00;2672.00
"Basketworks";"Czech Republic (Czechoslovakia)";..;..;..;..
"Basketworks";"Denmark";10696.54;94685.00;4397.92;32926.00
"Basketworks";"Dominican Republic";5928.60;67995.00;7333.75;63307.00
"Basketworks";"Ecuador";3141.60;22137.00;..;..
"Basketworks";"Egypt Arab Republic";..;..;..;..
"Basketworks";"Fiji";..;..;..;..
"Basketworks";"Finland";..;..;..;..
"Basketworks";"France";8908.48;151704.00;6622.37;171488.00
"Basketworks";"French Polynesia";132.40;2252.00;164.30;2640.00
"Basketworks";"French West Indies";..;..;..;..
"Basketworks";"Gabon";..;..;..;..
"Basketworks";"Germany";17397.80;87763.00;17579.60;49754.00
"Basketworks";"Greece";..;..;..;..
"Basketworks";"Guadeloupe";..;..;..;..
"Basketworks";"Honduras, Republic Of";..;..;..;..
"Basketworks";"Hong Kong, China";1755.18;67593.00;8502.80;237597.00
